Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1,70,252,16,175517
2,170,93,12,160591
3,236,125,13,259901
4,170,84,13,171352
5,65,26,11,60644
6,82,24,10,56768
7,19,5,6,11199
8,1,0,1,65
9,201,78,16,182103
10,116,51,12,119748
11,200,90,15,209071
12,238,122,13,292840
13,124,206,14,393422
14,123,71,13,171439
15,181,97,13,226595
16,89,33,14,80615
17,201,325,22,567886
18,212,118,15,228563
19,209,245,25,500364
20,97,69,14,148969
21,3,0,2,389
22,66,29,8,52003
23,147,50,11,101159
24,77,104,15,212389
25,93,62,15,115656
26,221,135,12,223648
27,225,128,14,253166
28,111,91,12,133257
29,49,14,7,34015
30,215,132,14,238316
31,123,54,12,116285
32,229,105,9,222073
33,219,104,15,213574
34,159,121,18,238613
35,137,57,13,145529
36,185,136,22,322994
37,209,127,18,309449
38,20,4,8,10960
39,232,111,14,257250
40,121,83,21,207786
41,30,11,9,26747
42,158,138,16,306195
43,207,87,10,216131
44,1,0,1,65
45,149,73,14,190986
46,187,76,13,194676
47,153,140,23,333131
48,212,209,25,507800
49,1,0,1,65
50,214,389,32,870972
51,1,0,1,65
52,68,24,10,68193
53,53,12,6,30989
54,60,16,9,43523
55,206,217,23,516955
56,8,1,5,2460
57,149,58,9,145246
58,34,6,10,17319
59,57,14,9,38448
60,101,30,9,80358
61,100,42,13,104187
62,116,41,10,100596
63,50,12,9,33585
64,81,44,12,108420
65,44,10,10,27394
66,83,26,11,73478
67,86,40,14,106837
68,168,81,13,203077
69,160,145,20,347491
70,136,76,12,195367
71,224,218,23,535377
72,10,1,6,3583
73,75,22,7,58802
74,156,183,23,447924
75,35,17,13,44497
76,36,6,8,18013
77,100,34,11,86777
78,52,14,8,40223
79,86,42,12,111903
80,112,60,15,148414
81,84,43,17,113664
82,37,7,8,20635
83,66,21,11,58834
84,33,9,9,26279
85,205,224,25,520123
86,191,109,16,273732
87,54,16,11,45801
88,207,84,10,214866
89,70,50,13,126347
90,153,84,17,208605
91,138,132,15,313762
92,124,92,18,236567
93,191,183,20,457005
94,14,3,8,10610
95,110,60,15,156984
96,1,0,1,65
97,52,22,9,63177
98,194,81,14,207019
99,27,11,9,28135
100,83,22,9,61647
101,115,70,17,169063
102,237,196,19,469700
103,159,159,22,394034
104,21,5,5,12668
105,48,20,11,51266
106,156,52,13,134901
107,78,31,11,79396
108,186,103,17,257625
109,22,4,6,11949
110,37,18,12,49850
111,149,49,10,130663
112,159,50,10,127307
113,190,149,18,369680
114,163,142,23,347731
115,49,23,12,61813
116,164,102,18,258604
117,104,88,22,219066
118,161,82,15,214076
119,165,68,14,177923
120,206,188,16,449137
121,153,106,17,260106
122,222,165,17,404589
123,215,117,18,295855
124,63,17,10,48188
125,225,143,22,355716
126,170,59,14,152216
127,78,26,14,72502
128,49,24,14,65875
129,134,65,14,165487
130,158,57,13,146428
131,131,60,15,147153
132,148,97,17,242968
133,213,96,10,236751
134,173,74,12,180719
135,237,110,15,275438
136,52,26,14,68739
137,95,50,14,130841
138,102,60,16,156555
139,56,33,18,89675
140,219,94,16,235865
141,9,2,4,3180
142,60,37,14,94251
143,69,22,10,61136
144,26,4,7,12045
145,236,179,18,434988
146,102,33,11,86069
147,183,143,16,347628
148,162,67,11,171986
149,112,61,15,163611
150,210,253,21,588426
151,14,3,6,8671
152,203,77,11,198738
153,180,64,11,166589
154,67,29,14,79981
155,41,11,10,31394
