Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1,70,514,10,11562
2,170,402,2,9889
3,236,597,2,16555
4,170,452,3,17732
5,65,112,3,3013
6,82,119,2,4620
7,19,16,4,897
8,137,1384,15,42075
9,201,489,2,13299
10,116,233,2,7456
11,200,388,2,14035
12,238,720,3,21942
13,124,1139,7,19671
14,123,351,3,11609
15,181,495,3,15609
16,89,201,2,5370
17,201,1438,8,38285
18,212,616,4,22950
19,209,1343,5,30587
20,97,251,3,7020
21,3,1,2,21
22,66,107,2,2793
23,147,259,2,8850
24,77,525,9,13795
25,93,254,4,8789
26,221,510,2,15948
27,225,595,3,16687
28,111,304,5,10704
29,49,65,2,1980
30,215,571,2,15085
31,123,237,3,7904
32,229,608,3,20655
33,219,514,3,15804
34,159,594,3,14993
35,137,301,2,10175
36,185,809,7,28196
37,209,763,2,18436
38,20,13,3,861
39,232,545,2,15810
40,121,450,5,14337
41,30,64,5,2135
42,158,831,5,28213
43,207,543,2,14940
44,179,1986,16,54568
45,149,416,2,11362
46,187,440,3,12375
47,153,780,5,23332
48,212,1236,4,33150
49,195,4630,17,73899
50,214,2119,8,48906
51,141,1566,16,39620
52,68,144,4,4247
53,53,64,3,3317
54,60,97,3,3509
55,206,1388,6,32627
56,8,3,3,221
57,149,356,3,9269
58,34,32,5,2967
59,57,87,3,3910
60,101,147,2,5481
61,100,233,3,8643
62,116,228,3,7456
63,50,63,2,2828
64,81,254,3,6520
65,44,48,3,2225
66,83,113,2,4175
67,86,208,3,7439
68,168,479,4,16513
69,160,885,4,23754
70,136,380,3,14469
71,224,1216,4,29185
72,10,5,5,441
73,75,125,3,4681
74,156,1170,12,34743
75,35,91,8,3479
76,36,32,2,1533
77,100,195,2,5427
78,51,130,3,2369
79,86,234,3,5363
80,112,346,4,11925
81,84,272,9,12168
82,37,43,2,1575
83,66,112,2,3192
84,33,53,3,1675
85,205,1516,6,32469
86,191,647,4,20682
87,54,87,5,3270
88,207,582,2,12865
89,70,358,7,8319
90,153,561,4,19341
91,138,805,5,22160
92,124,637,8,17928
