Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1,70,97,37,182040
2,170,75,16,182054
3,236,120,19,292621
4,170,81,20,193111
5,65,23,14,62969
6,82,22,12,58775
7,19,4,9,11570
8,1,0,1,65
9,201,85,16,220552
10,116,41,17,103050
11,200,77,14,183937
12,238,131,17,325762
13,124,253,52,606434
14,123,68,20,171964
15,181,79,17,198376
16,89,35,17,94198
17,201,292,47,705124
18,212,111,20,264480
19,209,260,42,622845
20,97,56,21,154209
21,3,1,2,392
22,66,20,13,57977
23,147,44,14,111360
24,77,93,42,227274
25,93,50,23,125822
26,221,90,16,220220
27,225,107,17,264106
28,111,56,20,141745
29,49,13,11,35695
30,215,121,19,298145
31,123,43,14,115026
32,229,103,17,249015
33,219,91,15,228249
34,159,107,27,268742
35,137,48,14,123743
36,185,158,36,391773
37,209,139,25,347462
38,20,4,10,12622
39,232,99,17,242928
40,121,88,27,226000
41,30,14,18,38148
42,158,142,31,357469
43,207,86,15,210441
44,1,1,1,65
45,149,74,19,195685
46,187,78,15,199281
47,153,121,31,287636
48,212,233,40,572347
49,1,1,1,65
50,214,416,67,956915
51,1,0,1,65
52,68,27,18,73871
53,53,13,13,34647
54,60,18,12,47690
55,206,264,48,641671
56,8,1,6,2447
57,149,62,16,161059
58,34,6,10,17393
59,57,15,16,43716
60,101,27,13,73082
61,100,41,20,103503
62,116,44,15,119159
63,50,14,11,40546
64,81,46,19,112981
65,44,10,10,29053
66,83,25,12,67011
67,86,40,18,103202
68,168,83,18,213075
69,160,162,42,386197
70,136,79,22,202802
71,224,212,32,516871
72,10,1,7,3542
73,75,26,14,72176
74,156,226,51,546881
75,35,21,24,56584
76,36,8,9,22895
77,100,38,14,101331
78,52,15,12,41613
79,86,43,21,116325
80,112,58,18,146128
81,84,48,34,131719
82,37,11,13,27372
83,66,23,12,59496
84,33,10,13,29227
85,205,229,43,552157
86,191,120,23,305684
87,54,16,14,46121
88,207,95,17,242757
89,70,56,27,140090
90,153,91,29,225089
91,138,166,42,401687
92,124,104,31,266559
93,191,206,38,516866
94,14,3,11,10280
95,110,65,21,175062
96,1,0,1,65
97,52,21,18,57487
